Year,DemPctVotes,DemPctSeats,RepPctVotes,RepPctSeats,ChangePctVotes,DirectionVotesChange,ChangePctSeatsWon,DirectionSeatsChange,DemSeatsAndVotesDifference
1946,44.3,43.3,53.5,56.7,6.4,R,12.8,R,-1
1948,51.6,60.6,45.4,39.4,7.9,D,17.3,D,9
1950,48.9,54,48.9,46,3.2,R,6.6,R,5.1
1952,49.2,49.1,49.3,50.9,0.1,R,4.9,R,-0.1
1954,52.1,53.3,47,46.7,2.6,D,4.2,D,1.2
1956,50.7,53.8,48.7,46.2,1.5,R,0.5,D,3.1
1958,55.5,64.9,43.6,35.1,5,D,11.1,D,9.4
1960,54.4,60,44.8,40,1.2,R,4.9,R,5.6
1962,52.1,59.4,47.1,40.6,2.3,R,0.6,R,7.3
1964,56.9,67.8,42.4,32.2,4.8,D,8.4,D,10.9
1966,50.5,57,48,43,6,R,10.8,R,6.5
1968,50,55.9,48.2,44.1,0.3,R,1.1,R,5.9
1970,53,58.6,44.5,41.4,3.4,D,2.7,D,5.6
1972,51.7,55.8,46.4,44.2,1.7,R,2.8,R,4.1
1974,57.1,66.9,40.5,33.1,5.8,D,11.1,D,9.8
1976,56.2,67.1,42.1,32.9,1.3,R,0.2,D,10.9
1978,53.4,63.7,44.7,36.3,2.8,R,3.4,R,10.3
1980,50.4,55.9,48,44.1,3.2,R,7.8,R,5.5
1982,55.2,61.8,43.3,38.2,5.2,D,5.9,D,6.6
1984,52.1,58.2,47,41.8,4.1,R,3.6,R,6.1
1986,54.5,59.3,44.6,40.7,2.4,D,1.1,D,4.8
1988,53.3,59.8,45.5,40.2,1.1,R,0.5,D,6.5
1990,52.9,61.4,45,38.4,0.1,D,1.6,D,8.5
1992,50.8,59.3,45.6,40.5,1.4,R,2.1,R,8.5
1994,45.4,46.9,52.4,52.9,6.3,R,12.4,R,1.5
1996,48.5,47.6,48.9,52,3.4,D,0.7,D,-0.9
1998,47.1,48.5,48,51.3,0.3,R,0.9,D,1.4
2000,47,48.7,47.3,50.8,0.3,D,0.2,D,1.7
2002,45,47,49.6,52.8,2.3,R,2,R,2
2004,46.6,46.4,49.2,53.4,1.1,D,0.6,R,-0.2
2006,52,53.6,45.6,46.4,5.4,D,7.2,D,1.6
2008,52.9,59.1,42.3,40.9,1.4,D,5.5,D,6.2
2010,44.8,44.4,51.4,55.6,9,R,14.7,R,-0.4
2012,48.3,46.2,46.9,53.8,4.1,D,1.8,D,-2.1
2014,45.5,43.2,50.6,56.8,3.4,R,3,R,-2.3
2016,47.3,44.6,48.2,55.4,2.2,D,1.4,D,-2.7
2018,53.3,54.1,44.3,45.9,5,D,9.5,D,0.9
